Word,Frequency
honor,1
help,1
none,1
coworkers,1
lend,1
filthy,1
It's,2
"Tim,",2
"French,",1
decent,2
young,2
easily,1
overwhelmed,1
bun,1
maybe,1
month,1
old,2
2c3s,1
creem,1
"well,",1
forced,1
nightmare,1
custom,1
overcharged,1
efficent,1
regular,1
cute,1
gurls,1
gotta,1
timseven,1
montrealcoffee,1
niceand,1
comfortablewelcome,1
feeling,1
n,3
helpfulnice,1
wonderful,1
advise,1
inexperienced,1
set,1
brilliant,1
"satisfying,",1
"cappuccino,",1
creamy,1
frosty,1
cafe,2
beautiful,2
scratch,1
tongue,1
classic,1
dishes,1
"expensive,",1
advantage,1
especially,1
rotten,1
single,1
spot,1
enjoy,1
cool,3
night,3
sky,1
asking,1
stores,1
power,1
pints,1
takeout,1
spare,1
basically,1
croissants,1
drank,1
stuff,2
read,1
newspaper,1
book,1
calmly,1
disturbed,1
unorganized,1
getting,1
expensive,1
"coffee,",2
favourite,2
repeated,1
hiding,1
welcome,2
stock,1
ranch,1
succulent,1
fruit,1
explosion,1
friends,2
doughnuts,1
pricy,1
comfortable,1
cafeteria,1
mediocre,1
respectful,1
takes,1
traffic,1
freshness,1
provide,1
wifi,3
application,1
profesional,1
OK,1
focused,1
drive,1
bravo,2
jessica,1
pascale,1
outstanding,1
cannot,2
staffed,1
contemptuous,2
towards,1
talk,1
loudly,1
central,2
zone,1
spaces,1
close,1
owners,1
shop,1
stopped,1
liked,2
veg,1
grill,1
water,1
bought,1
toilets,1
15minutes,1
cheese,2
croissant,1
heartfinal,1
mg13,1
rooms,1
pastries,1
curtious,1
timbits,1
capp,1
white,1
isnt,1
bites,1
mocha,1
sugary,1
abandoned,1
cofee,1
slightly,1
less,1
site,1
effective,1
serving,1
confusion,1
queues,1
services,2
helps,1
peckish,1
creme,1
lady,1
mood,1
phew,1
arrive,1
10:30,1
eggs,1
yogurt,1
lots,1
untrained,1
ingredients,1
personal,1
organization,1
tray,1
partially,1
sorry,1
ginette,1
hole,1
coffe,1
Very,1
steep,1
selection,1
cook,1
clubs,1
4am,1
awful,1
moves,1
bofbreakfast,1
heated,1
microwave,1
icon,1
fi,1
youve,1
inexpensive,1
growth,1
wow,1
sercive,1
foodies,1
veggies,1
Alright,1
"chocolate,",1
lemonade,1
muffins,2
paa,1
mal,1
near,1
Expensive,1
jaime,1
manager,1
beau,1
beat,1
treat,1
functioning,1
orderly,1
ads,1
holdd,1
crazy,1
cheep,1
qualifies,1
bof,2
fye,1
excellant,1
05,1
101,1
401,1
portions,1
size,1
hurtons,1
branches,2
mexico,1
Canadian,1
meh,1
grateful,1
iconic,1
cafes,1
although,1
considered,1
country,1
essential,1
cloying,1
reasonable,2
drinking,1
units,2
Toronto,1
loyalty,1
number,1
purchases,1
free,2
wary,1
hang,1
economical,2
recommended,3
combination,1
sell,1
variety,2
see,1
connection,2
address,1
ideal,1
whim,1
frappes,1
breakfasts,1
functional,1
American,2
intolerant,2
superb,1
share,1
conversation,1
product,1
eating,1
relaxing,1
drunk,1
branch,1
breads,1
fame,1
trumps,1
Starbucks,1
flavored,1
rich,1
double,2
